id_bv;Niveau de pauvreté;Niveau de participation;Cluster
15_17;-3.705526183857256;-1.7218258935384996;0
15_18;-3.3692183785456415;-1.661730609018255;0
15_19;-3.4883787473141235;-0.7486708010871352;0
15_20;-3.7594073554790013;-0.5149148374193702;0
15_21;-5.086017412841928;-0.25794755218860665;0
15_22;-3.4948651234045967;0.4268796015115162;0
15_23;-4.434948150598662;0.36848098289122977;0
15_24;-4.724309045106063;-0.4380881417257181;0
15_25;-2.7841503556841283;0.13683956749543538;0
15_26;-0.9786043930841043;-0.7428754381266229;1
15_27;0.05801845018478594;-1.0370778184081542;1
15_28;-2.1584876961081516;0.5581949672427827;0
15_29;-2.499949733488694;0.8619566714534587;0
15_30;-2.584710737026203;0.4419891305548507;0
15_31;-3.506936844395694;0.6439201447486981;0
15_32;-2.8162597483418463;1.0804326709294412;0
15_33;-2.5463434429043317;1.3564636739922205;0
15_34;-2.4126056541438765;0.4892439111002525;0
15_35;-1.509734452469179;0.5574835973472548;1
15_36;-1.6006731904411504;-0.3476060428286305;0
15_37;-1.053261741876641;-0.4175625278683213;1
15_38;0.3965143673147771;-3.1239572325662412;2
15_39;2.0992517511082367;-4.697715398328665;2
15_40;0.5687489754699273;-3.3760139801923192;2
15_41;-1.1597821032185804;0.1387151609284218;1
15_42;-1.542896965839249;-1.1878363860884147;0
15_43;-1.5765545968739647;-1.334245702932502;0
15_44;0.6677723978973078;-1.3160374964450126;2
15_45;0.4283294250169071;-0.5006626503916363;1
15_46;-1.793704262734184;0.4574196481509822;0
