id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
11_28;132; 0,1230 ; 108 ; 0,0849 ;-24;58;41;20;2;11;Les Républicains
11_29;138; 0,1235 ; 152 ; 0,1071 ;14;33;66;29;3;7;Rassemblement National
11_30;137; 0,1239 ; 130 ; 0,0975 ;-7;36;58;30;1;12;Rassemblement National
11_31;124; 0,1270 ; 129 ; 0,0997 ;5;30;52;29;3;10;Rassemblement National
11_32;128; 0,1130 ; 131 ; 0,0972 ;3;31;49;24;10;14;Rassemblement National
11_33;189; 0,1574 ; 170 ; 0,1181 ;-19;68;64;40;4;13;Les Républicains
11_34;143; 0,1452 ; 145 ; 0,1158 ;2;44;60;26;3;10;Rassemblement National
11_35;197; 0,1836 ; 168 ; 0,1313 ;-29;68;65;49;4;11;Les Républicains
11_36;154; 0,1431 ; 141 ; 0,1079 ;-13;49;61;33;1;10;Rassemblement National
11_37;186; 0,1809 ; 157 ; 0,1308 ;-29;74;65;36;4;7;Les Républicains
11_38;192; 0,1714 ; 188 ; 0,1367 ;-4;65;84;35;1;7;Rassemblement National
11_39;161; 0,1731 ; 143 ; 0,1325 ;-18;49;67;31;1;13;Rassemblement National
11_40;175; 0,1984 ; 181 ; 0,1722 ;6;57;81;28;1;8;Rassemblement National
11_41;191; 0,1925 ; 213 ; 0,1700 ;22;40;84;45;2;20;Rassemblement National
11_42;189; 0,2203 ; 181 ; 0,1725 ;-8;52;88;31;5;13;Rassemblement National
11_43;191; 0,1831 ; 173 ; 0,1337 ;-18;71;73;32;6;9;Rassemblement National
11_44;210; 0,1887 ; 180 ; 0,1371 ;-30;90;71;36;7;6;Les Républicains
11_45;241; 0,2313 ; 209 ; 0,1708 ;-32;96;70;59;4;12;Les Républicains
11_46;230; 0,2273 ; 190 ; 0,1541 ;-40;71;89;51;0;19;Rassemblement National
11_47;208; 0,1990 ; 208 ; 0,1648 ;0;67;80;48;2;11;Rassemblement National
11_48;263; 0,2218 ; 219 ; 0,1604 ;-44;114;82;51;5;11;Les Républicains
11_49;231; 0,2021 ; 206 ; 0,1543 ;-25;76;84;55;2;14;Rassemblement National
11_50;203; 0,1690 ; 175 ; 0,1293 ;-28;78;68;38;8;11;Les Républicains
11_51;225; 0,1963 ; 213 ; 0,1619 ;-12;80;74;58;1;12;Les Républicains
11_52;191; 0,1621 ; 155 ; 0,1104 ;-36;69;65;36;8;13;Les Républicains
11_53;250; 0,2031 ; 204 ; 0,1444 ;-46;111;81;47;4;7;Les Républicains
