id_bv;total_G_EUR;total_G_LEG;ecart_voix_G;p_G_EUR;p_G_LEG;nb_PS;nb_EELV;nb_PCF;nb_LFI;autresGauche;ExtGauche;partie_dominant
12_19;534;570;36;0,6034;0,5455;243;114;8;154;11;4;Partie Socialiste
12_20;506;519;13;0,5628;0,5024;234;106;13;141;9;3;Partie Socialiste
12_21;516;581;65;0,5089;0,4716;240;113;20;137;5;1;Partie Socialiste
12_22;494;640;146;0,6047;0,5850;183;82;14;208;4;3;La France Insoumise
12_23;387;457;70;0,5237;0,5005;157;76;18;129;4;3;Partie Socialiste
12_24;513;578;65;0,6248;0,5579;212;133;21;137;7;3;Partie Socialiste
12_25;524;583;59;0,5475;0,5043;213;103;15;182;9;2;Partie Socialiste
12_26;467;488;21;0,5313;0,4683;212;97;21;124;9;4;Partie Socialiste
12_27;521;570;49;0,6037;0,5408;228;115;10;150;13;5;Partie Socialiste
12_28;463;518;55;0,5279;0,5049;185;77;15;174;7;5;Partie Socialiste
12_29;376;389;13;0,5489;0,4785;149;81;16;121;6;3;Partie Socialiste
12_30;504;472;-32;0,5379;0,4358;261;99;10;126;5;3;Partie Socialiste
12_31;486;530;44;0,5376;0,5014;216;112;16;134;7;1;Partie Socialiste
12_32;494;500;6;0,5255;0,4579;246;100;14;122;10;2;Partie Socialiste
12_33;506;553;47;0,5338;0,5005;221;99;13;159;10;4;Partie Socialiste
12_34;510;523;13;0,5065;0,4436;216;135;22;131;4;2;Partie Socialiste
12_35;469;463;-6;0,4776;0,4047;248;88;16;105;9;3;Partie Socialiste
12_36;434;479;45;0,5515;0,4908;154;82;14;172;8;4;La France Insoumise
12_37;435;525;90;0,5769;0,5463;144;57;10;215;7;2;La France Insoumise
12_38;509;583;74;0,5324;0,5030;232;112;16;144;3;2;Partie Socialiste
12_39;389;425;36;0,5132;0,4691;186;82;22;90;6;3;Partie Socialiste
12_40;516;517;1;0,5804;0,5044;248;110;11;139;4;4;Partie Socialiste
12_41;445;464;19;0,5017;0,4514;185;107;16;125;10;2;Partie Socialiste
12_42;571;604;33;0,5744;0,5033;233;134;15;175;12;2;Partie Socialiste
12_43;228;280;52;0,475;0,4553;88;34;12;89;1;4;La France Insoumise
12_44;483;517;34;0,5771;0,5385;191;78;14;194;4;2;La France Insoumise
12_45;389;533;144;0,5994;0,6098;94;35;21;228;7;4;La France Insoumise
12_46;485;552;67;0,5607;0,5144;200;81;10;177;7;10;Partie Socialiste
12_47;396;549;153;0,507;0,5404;159;64;8;161;1;3;La France Insoumise
12_48;493;578;85;0,5848;0,5521;166;105;16;199;4;3;La France Insoumise
12_49;631;647;16;0,612;0,5352;283;149;21;159;13;6;Partie Socialiste
12_50;558;647;89;0,6193;0,5731;217;104;18;203;8;8;Partie Socialiste
12_51;490;588;98;0,5671;0,5288;209;70;13;192;3;3;Partie Socialiste
12_52;481;498;17;0,5809;0,4940;224;115;8;125;4;5;Partie Socialiste
12_53;613;600;-13;0,5686;0,4847;313;140;11;141;6;2;Partie Socialiste
12_54;397;418;21;0,519;0,4519;192;76;13;105;5;6;Partie Socialiste
12_55;722;752;30;0,6197;0,5360;351;153;26;179;9;4;Partie Socialiste
12_56;500;536;36;0,6435;0,5696;251;114;10;114;8;3;Partie Socialiste
12_57;674;714;40;0,7058;0,6134;297;176;22;165;10;4;Partie Socialiste
12_58;605;631;26;0,6526;0,5763;283;133;18;161;1;9;Partie Socialiste
12_59;464;517;53;0,5707;0,5335;215;97;7;136;5;4;Partie Socialiste
12_60;552;613;61;0,6595;0,6087;250;117;13;160;5;7;Partie Socialiste
12_61;455;521;66;0,5159;0,4749;199;89;18;142;5;2;Partie Socialiste
12_62;674;663;-11;0,6582;0,5628;340;167;18;142;5;2;Partie Socialiste
12_63;457;558;101;0,5756;0,5580;169;97;10;162;13;6;Partie Socialiste
12_64;457;480;23;0,5253;0,4743;221;106;9;115;5;1;Partie Socialiste
13_01;677;697;20;0,5986;0,5308;316;152;14;178;12;5;Partie Socialiste
13_02;518;573;55;0,5927;0,5563;202;120;11;172;9;4;Partie Socialiste
13_03;556;619;63;0,5884;0,5255;226;111;28;174;13;4;Partie Socialiste
13_04;421;505;84;0,5839;0,5549;146;68;20;172;5;10;La France Insoumise
13_05;573;610;37;0,5883;0,5304;278;91;24;170;7;3;Partie Socialiste
